algorithm,gini_coefficient,normalized_entropy,tail_visibility_share,tail_visibility_count,tail_threshold_degree,degree_spearman,top_k_mass_share
hits_authority,0.9964257875343369,0.5596273241837372,0.74,37,10.0,0.16647074427569883,0.16378484183925857
pagerank,0.3136152170518235,0.9844027014684652,0.0,0,10.0,0.9081958883737212,0.0037800390678390094
personalized_pagerank,0.29108400206121715,0.9854047739151951,0.0,0,10.0,0.6356745581892129,0.004457691163341401
degree_normalized_pagerank,0.22692800929040632,0.9934003094603056,0.12,6,10.0,0.05840664462513449,0.0008967269788475076
